PLAYER_ID,SEASON_ID
76001,21990
76001,41990
76001,21991
76001,41991
76001,21992
76001,41992
76001,21993
76001,21994
76002,21968
76002,21969
76002,41969
76002,21970
76002,21971
76002,21972
76002,21973
76002,21974
76002,41974
76002,21975
76002,41975
76002,21976
76002,21977
76003,21969
76003,31969
76003,41969
76003,21970
76003,31970
76003,41970
76003,21971
76003,31971
76003,41971
76003,21972
76003,41972
76003,21973
76003,31973
76003,41973
76003,21974
76003,31974
76003,21975
76003,31975
76003,21976
76003,31976
76003,41976
76003,21977
76003,41977
76003,21978
76003,31978
76003,41978
76003,21979
76003,31979
76003,41979
76003,21980
76003,31980
76003,41980
76003,21981
76003,31981
76003,41981
76003,21982
76003,31982
76003,41982
76003,21983
76003,31983
76003,41983
76003,21984
76003,31984
76003,41984
76003,21985
76003,31985
76003,41985
76003,21986
76003,31986
76003,41986
76003,21987
76003,31987
76003,41987
76003,21988
76003,31988
76003,41988
51,21990
51,21991
51,21992
51,21993
51,41993
51,21994
51,41994
51,21995
51,21996
51,11997
51,21997
51,12000
51,22000
1505,21997
1505,11998
1505,21998
1505,41998
1505,11999
1505,21999
1505,12000
1505,22000
1505,12001
1505,22001
1505,12002
1505,22002
1505,42002
1505,12003
949,21996
949,11997
949,21997
949,11998
949,21998
949,11999
949,21999
949,12000
949,22000
949,12001
949,22001
949,32001
949,12002
949,22002
949,12003
949,22003
949,12004
949,22004
949,12005
949,22005
949,42005
949,12006
949,22006
949,12007
949,22007
76005,21976
76005,41976
76005,21977
76005,41977
76005,21978
76005,21979
76005,21980
76006,21956
76007,21946
76007,21947
203518,12016
203518,22016
203518,42016
203518,12017
203518,22017
203518,42017
203518,12018
203518,22018
101165,12005
101165,22005
101165,12008
101165,22008
76008,21953
76008,41953
76009,21987
76009,41987
76009,21988
76009,41988
76009,21989
76009,21990
76009,21991
76009,21992
76010,21967
203112,12012
203112,22012
203112,12013
203112,22013
203112,12014
203112,22014
203112,12015
203112,22015
203112,12016
203112,22016
203112,12017
203112,22017
203112,22018
76011,21975
76011,31975
76011,41975
76011,21976
76011,21977
76011,41977
76011,21978
76011,41978
76011,21979
76011,41979
76011,21980
76011,41980
76011,21981
76011,41981
76011,21982
76011,41982
76011,21983
76011,41983
76011,21984
76011,41984
76011,21985
76011,21986
76011,21987
76012,21970
76012,21971
76012,41971
76012,21972
76012,21973
76012,41973
76012,21974
76012,21975
76012,41975
76012,21976
200801,12006
200801,22006
200801,42006
200801,12007
200801,12008
200801,22008
1629121,12018
1629121,22018
203919,12014
203919,22014
203919,42014
203919,12015
203919,22015
149,21985
149,21986
149,41986
149,21987
149,41987
149,21988
149,41988
149,21989
149,41989
149,21990
149,21991
149,31991
149,21992
149,21993
149,21994
149,41994
149,21995
203500,12013
203500,22013
203500,42013
203500,12014
203500,22014
203500,12015
203500,22015
203500,42015
203500,12016
203500,22016
203500,42016
203500,12017
203500,22017
203500,42017
203500,12018
203500,22018
203500,42018
912,21986
912,21991
912,41991
912,21992
912,41992
912,21994
912,21995
912,21996
1628389,12017
1628389,22017
1628389,42017
1628389,12018
1628389,22018
1629061,12018
1629061,22018
76015,21968
76015,41968
76015,21969
76015,21970
76015,21971
76015,21972
76015,21973
76015,41973
76015,21974
76015,41974
202399,12010
202399,22010
202399,12011
202399,22011
202399,22012
202399,12013
202399,22013
202399,12014
