name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
Donatas Motiejunas,310.4,0.2844,189.8,16.2,365.2
Donell Taylor,138,0.2055,53,3.5,133
Donnell Harvey,197,0.0715,165.4,16,230
Donny Marshall,16,0.25,12,0,15
Donovan Mitchell,1068,0.3335,223.5,21,1248.5
Donta Smith,70,0.3865,33,2.5,82.5
Donte DiVincenzo,107,0.246,56,6,110
Donte Greene,360.25,0.29175,150,29,385.25
Dontell Jefferson,22,0.5,12,1,29
Donyell Marshall,597.2222222,0.360111111,430.5555556,56.11111111,717.8888889
Dorell Wright,355.2727273,0.3232,190.2727273,24.63636364,417.9090909
Dorian Finney-Smith,238.3333333,0.307666667,162.3333333,17,263.3333333
Doron Lamb,161.5,0.389,47.5,0.5,172.5
Doug Christie,449,0.268142857,228.7142857,24,561.5714286
Doug McDermott,394.4,0.3896,134.6,6.6,477.4
Doug Overton,142.6666667,0.231666667,45.66666667,1,129.3333333
Doug West,38,0,15,4,28
Dragan Bender,223.6666667,0.258666667,160.6666667,25.33333333,234.3333333
Dragan Tarlac,99,,122,19,103
Draymond Green,538.5714286,0.302142857,493.5714286,76.28571429,649.4285714
Drew Eubanks,14,,12,0,26
Drew Gooden,531.0714286,0.208857143,401.2857143,33.85714286,618.0714286
Drew Gordon,19,0,18,0,17
Duane Causwell,85,,83,18,76
Duje Dukan,10,0.4,4,0,6
Duncan Robinson,6,0.333,5,0,6
Dwayne Bacon,134.5,0.39,79.5,1,139
Dwayne Jones,13,0,38.2,5.8,21.4
Dwight Buycks,95.33333333,0.421,25.33333333,0.666666667,103.3333333
Dwight Howard,747.8,0.114,878.9333333,136.7333333,1207.6
Dwight Powell,276,0.2402,247.6,25,402.8
Dwyane Wade,1065.5,0.276125,297.4375,54.0625,1408
Dzanan Musa,14,0,3,0,12
Earl Barron,85.875,0.192333333,61.5,3.75,80
Earl Boykins,435,0.313727273,75.81818182,3,508
Earl Clark,187.5,0.2718,129.6666667,22.66666667,189.6666667
Earl Watson,395.3076923,0.299153846,152.6923077,13.53846154,430.2307692
Ed Davis,321.3333333,0,446.1111111,57.55555556,438.8888889
Eddie Basden,37,0.143,28,2,39
Eddie Gill,70.85714286,0.376857143,29.57142857,2,81.57142857
Eddie Griffin,452.6,0.2372,348.8,103.6,434.2
Eddie House,461.5454545,0.382727273,111.1818182,5.272727273,486.9090909
Eddie Jones,757.125,0.364625,276.25,35.375,927
Eddie Robinson,323.75,0.3285,145,16.5,366.75
Eddy Curry,430.3636364,1,247.7272727,34.90909091,620
Edmond Sumner,4.5,0.25,2,0,3.5
Eduardo Najera,208.75,0.249416667,192.25,19.25,254.3333333
Edwin Ubiles,18,0.2,10,1,14
Edy Tavares,12,,16,6,16.5
Efthimi Rentzias,59,0.5,26,2,52
Ekpe Udoh,157.5714286,0,149,58.71428571,184
Elden Campbell,472,0,324.2,74.6,584
Eldridge Recasner,60,0.1665,25,0.5,54
Elfrid Payton,627,0.3286,264,20.8,699
Elias Harris,1,,1,0,0
Elie Okobo,167,0.309,52,4,168
Elijah Millsap,94.66666667,0.131333333,63.66666667,6.333333333,95.66666667
Elliot Perry,75,0.2,25,0.5,79
Elliot Williams,114.5,0.3215,40.25,1.5,134.25
Elton Brand,742.4375,0.102538462,514.375,106,950
Emanual Davis,201.3333333,0.325333333,90.33333333,6.333333333,211.3333333
Emeka Okafor,586.7,0,596.7,100.3,737
Emmanuel Mudiay,606.75,0.31675,167.25,18,637.25
Enes Kanter,626.125,0.28925,528.25,31.375,827.875
Eric Bledsoe,646.3333333,0.324,228.6666667,29.44444444,828
Eric Dawson,12,,10,2,15
Eric Gordon,715.8181818,0.359545455,136.2727273,18.27272727,899.5454545
Eric Maynor,224.4,0.3452,69.6,4,228.2
Eric Montross,135,0,156.5,24.5,118
Eric Moreland,32.25,,73.25,13.75,38.25
Eric Piatkowski,269.625,0.39125,97.125,6.125,342.125
Eric Snow,457.625,0.136625,190.5,11,525.5
Eric Williams,351.1428571,0.329285714,190.7142857,7.857142857,433.4285714
Erick Barkley,45,0.259,10.5,0.5,38.5
Erick Dampier,323.4166667,0.0555,456.6666667,92.75,446.5833333
Erick Green,87.5,0.249,18.5,0,79.5
Erick Strickland,327,0.3562,132,2.6,371.2
Erik Daniels,18,0.5,18,0,13
Erik McCree,2,0,1,0,0
Erik Murphy,13,0,8,4,6
Ernest Brown,6,,6,1,3
Ersan Ilyasova,589.8181818,0.366181818,380.6363636,23.63636364,696.0909091
Ervin Johnson,116.6666667,0.333333333,290.3333333,50,140.1666667
Esteban Batista,48,0,87,5.5,60.5
Etan Thomas,192.6666667,,214.1111111,47.44444444,260.1111111
Etdrick Bohannon,4,,7,2,8
E'Twaun Moore,445.375,0.38475,125.125,14.25,500
Eugene Jeter,259,0.2,70,2,255
Evan Eschmeyer,89.66666667,,164.3333333,24.66666667,110
Evan Fournier,639.8571429,0.376142857,161.5714286,5.714285714,793.4285714
Evan Turner,681.7777778,0.278,346.3333333,19.11111111,736
Fab Melo,6,,3,2,7
Fabricio Oberto,139.1666667,0,195.8333333,12.5,180.1666667
Felipe Lopez,317,0.3945,157,15.5,359.5
Felton Spencer,23,,42.5,5,34
Festus Ezeli,178.6666667,,241.6666667,55.33333333,237.3333333
Francisco Elson,168.5555556,0.1305,182,28.33333333,191.7777778
Francisco Garcia,365.9,0.3426,140,38.8,432.3
Frank Jackson,119,0.412,28,0,148
Frank Kaminsky,534,0.34875,254,25.25,620.25
Frank Mason III,255.5,0.28,83,7,279.5
Frank Ntilikina,370,0.3075,123,15,341
Frank Williams,87,0.225,25.66666667,3.666666667,84.33333333
Fred Hoiberg,315.8,0.3672,220.8,9.4,425.8
Fred Jones,378.7142857,0.337571429,136.8571429,16.42857143,458
Fred VanVleet,337,0.386666667,110,10.33333333,390.3333333
Furkan Aldemir,78,0,176,16,93
Furkan Korkmaz,117,0.3085,52.5,1.5,126
Gabe Pruitt,70,0.271,25.5,1.5,62.5
Gal Mekel,53,0.125,14,0.5,39.5
Gani Lawal,0,,0,0,0
Garret Siler,31,,28,4,45
Garrett Temple,277.6666667,0.333777778,112.8888889,15.77777778,317.8888889
Garth Joseph,5,,2,1,2
Gary Clark,97,0.31,80,18,99
Gary Forbes,272,0.3385,109,5,322.5
Gary Grant,7,,0,0,10
Gary Harris,573,0.3414,144.2,11.4,708.2
Gary Neal,431.5714286,0.326571429,108.5714286,1.428571429,495.7142857
Gary Payton,1042.428571,0.313142857,290.5714286,16.57142857,1189.714286
Gary Payton II,48,0.1755,28,3.5,44.5
Gary Trent,307,0,217.25,18.75,366.5
Gary Trent Jr.,17,0.375,4,1,14
Geno Carlisle,3,,1,0,8
George Hill,563.2727273,0.375636364,197.3636364,18.72727273,722.2727273
George King,0,,1,0,0
George Lynch,347.4,0.278,323,18.6,352
George McCloud,615.5,0.2995,237.5,23,666.5
Georges Niang,41,0.156,20.33333333,0.666666667,40.66666667
Georgios Papagiannis,72,0,61.5,11.5,80
Gerald Fitch,89,0.269,30,5,84
Gerald Green,437.0833333,0.350833333,129.6666667,15.25,505.5833333
Gerald Henderson,638.875,0.29425,214.5,22.875,748.375
Gerald Wallace,535.1428571,0.262214286,345.5714286,48.64285714,709.5
Gerard King,176,,129,11,216
Gian Clavell,18,0.4,7,0,20
Giannis Antetokounmpo,924.8333333,0.252333333,574.6666667,95.83333333,1301
Gigi Datome,93,0.3145,37.5,4,94
Gilbert Arenas,804.5454545,0.336272727,197.0909091,12.18181818,1036.545455
Glen Davis,451.375,0.148571429,279.5,21.625,513.875
Glen Rice,363,0.31175,137.25,5.25,423.25
Glen Rice Jr.,26,0.2185,12,0.5,21.5
Glenn Robinson,909.2,0.328,320.4,28.2,1052.8
Glenn Robinson III,150.8,0.344,85.6,7.2,176.2
Goran Dragic,729,0.357909091,204.2727273,12.72727273,921.9090909
Gordan Giricek,537.5,0.3655,156.8333333,7.833333333,611.6666667
Gordon Hayward,721.1111111,0.330444444,259.5555556,24.88888889,944.7777778
Gorgui Dieng,426.3333333,0.412166667,447.5,71.83333333,558.6666667
Grant Hill,499.75,0.325083333,229.3333333,24.58333333,645.3333333
Grant Jerrett,26,0.067,9,2,16
Grant Long,258,0.147666667,196,9.333333333,295
Grayson Allen,74,0.286,7,2,84
Greg Anthony,364,0.3515,96.5,4,378
Greg Buckner,250.8888889,0.307777778,157.6666667,10.11111111,289.2222222
Greg Foster,88,0.194333333,74,7,84.33333333
Greg Monroe,714.7777778,0,575,40.11111111,915.2222222
Greg Oden,184,,218.6666667,43.33333333,280
Greg Ostertag,242.1666667,0.166666667,366.8333333,107.1666667,301.3333333
Greg Smith,78.8,0,97.8,11.8,119.2
Greg Stiemsma,132.25,0,169.75,58,160.25
Greivis Vasquez,471,0.326857143,145.8571429,4.857142857,513
Guerschon Yabusele,52,0.2795,39,6,64
Guillermo Diaz,4,0,2,0,5
Gustavo Ayon,176.6666667,0,196.3333333,24.33333333,211.6666667
Guy Rucker,0,,1,0,0
Ha Seung-Jin,27,,33.5,6.5,35
Hakeem Olajuwon,493,0,398.5,89,562
Hakim Warrick,453.375,0.117428571,264.625,19.25,618.375
Hamady N'Diaye,5,,8.333333333,3,6.666666667
Hamed Haddadi,56.2,0,74.4,18.4,67.8
Hamidou Diallo,145,0.182,84,9,172
Hanno Mottola,330.5,0.0385,221,14,357.5
Harold Jamison,43,,39,1,54
Harrison Barnes,807,0.373428571,349.4285714,14.57142857,966.8571429
Harry Giles,159,0,102,11,176
Hasheem Thabeet,64.2,,119,36.8,96.6
Hassan Adams,74,0,42,2.5,92.5
Hassan Whiteside,431.7142857,0.5665,505.5714286,107,594
Haywood Highsmith,2,0.5,0,0,3
Hedo Turkoglu,602.2666667,0.3642,264.7333333,19.93333333,734.8
Henry Ellenson,73.33333333,0.373,43.66666667,0.333333333,74.33333333
Henry Sims,214,0.091,167.5,16,257.75
Henry Walker,173,0.2954,80.2,5.4,215.8
Hersey Hawkins,137,0.37,80,9,183
Hilton Armstrong,115.5,0.166666667,127.6666667,23.66666667,146.6666667
Hiram Fuller,8,,11,1,8
Hollis Thompson,448.75,0.37975,207.25,17,512.5
Horace Grant,333.25,0,316.75,32.75,378.5
Horace Jenkins,45,0,9,1,42
Howard Eisley,406.1666667,0.319833333,114,6.666666667,438.6666667
Hubert Davis,212.25,0.31025,65,1,243
Ian Clark,228.5,0.341166667,65.66666667,6.666666667,259
Ian Mahinmi,182.6363636,0.015166667,223,36.09090909,263.2727273
Ibo Kutluay,1,,1,0,0
Igor Rakocevic,58,0.417,17,0,78
Ike Anigbogu,6,,6,2,6.5
Ike Diogu,159.6666667,0.5,114.8333333,10.83333333,224.6666667
Iman Shumpert,361.875,0.336625,176.75,13.375,389
Ime Udoka,210.1428571,0.246142857,132.2857143,7.714285714,233.5714286
Ira Bowman,4.5,0,1.5,0,5
Ira Newble,219.125,0.31525,139.25,13.125,241.25
Isaac Austin,181,0.125,146.5,14,151
Isaac Bonga,8,0,4,0,6
Isaac Fontaine,14,0.2,5,0,11
Isaiah Briscoe,52,0.417,17,0,51
Isaiah Canaan,271,0.334333333,71.5,3.5,312.3333333
Isaiah Hartenstein,36,0.333,39,9,47
Isaiah Hicks,72,0.222,41,4,80
Isaiah Rider,276.5,0.385,94.5,4.5,300
Isaiah Taylor,198.5,0.125,48.5,5.5,224
Isaiah Thomas,938.8571429,0.355714286,172.4285714,7,1274.714286
Isaiah Whitehead,297,0.342,105,19,321.5
Ish Smith,414.8888889,0.282666667,131,12.88888889,414.4444444
Ivan Johnson,315.5,0.205,246,16,404
Ivan McFarlin,13,0,11,0,15
Ivan Rabb,89,0,95.5,7.5,120.5
Ivica Zubac,156.6666667,0,126.3333333,22.33333333,199.6666667
J.J. Barea,498.3076923,0.346230769,130.3846154,1.692307692,553.3076923
J.J. Hickson,507,0,454.875,38.625,635.125
J.J. O'Brien,1,,1,0,0
J.J. Redick,587.5384615,0.405615385,122.8461538,5.076923077,783.5384615
J.P. Macura,8,0,2,0,4
J.R. Bremer,311,0.305,90.5,3.5,323
J.R. Giddens,31.5,0,27,1,36.5
J.R. Reid,5,,8,1,10
J.R. Smith,696.2,0.366066667,204.5333333,13.6,808.7333333
Jabari Bird,26,0.429,19,1,39
Jabari Brown,170,0.371,36,2,227
Jabari Parker,544.6,0.3116,242.4,15.2,653.8
Jabari Smith,75.75,0.166666667,44.5,6.5,82.25
Jack Cooley,24.5,,27.5,1.5,33.5
Jackie Butler,84.66666667,,68.33333333,10.33333333,114.3333333
Jackson Vroman,132.5,0,130.5,15,142.5
Jacob Evans,25,0.167,9,1,13
Jacob Pullen,2,0,0,0,2
Jacob Wiley,4,0.5,11,0,4
Jacque Vaughn,290.4444444,0.390444444,101.5555556,1.555555556,332.3333333
Jae Crowder,548.1428571,0.333142857,277.8571429,23,671.8571429
Jahidi White,192.2,0,266.6,52.2,267.2
Jahlil Okafor,370,0.2085,191,33.75,453
JaJuan Johnson,121,,58,14,114
JaKarr Sampson,248,0.322,143.6666667,27,287.6666667
Jake Layman,97,0.262666667,42.33333333,5,104.3333333
Jake Tsakalidis,169.1428571,0,176.8571429,31.85714286,213.8571429
Jake Voskuhl,153.4444444,0.333,171,18.44444444,201.5555556
Jakob Poeltl,217.6666667,0.5,254.6666667,50,319.3333333
Jalen Brunson,207,0.328,60,1,229
Jalen Jones,65,0.371,36,1.5,77.5
Jalen Rose,1023.571429,0.371,265.5714286,22.57142857,1214.571429
Jamaal Franklin,20.5,0.4775,12.5,1.5,21
Jamaal Magloire,306.25,0,367.3333333,50.25,409.75
Jamaal Tinsley,407.3636364,0.264818182,145.9090909,14.09090909,422.9090909
Jamal Crawford,855.6842105,0.348368421,153,14,1007.631579
Jamal Mashburn,1029,0.34875,358.25,10.25,1138.5
Jamal Murray,833.6666667,0.350333333,236.6666667,23.33333333,986.3333333
Jamal Robinson,22,0,11,0,6
Jamal Sampson,21.6,0,48.4,6.4,28.4
Jamario Moon,313.6,0.3024,245.4,47.2,361.4
Jameel Warney,12,,9,0,17
Jameer Nelson,620.8571429,0.367928571,185.3571429,4.857142857,710
Jamel Artis,79,0.276,38,3,77
Jamel Thomas,19,0.333,9,0,13
James Anderson,255.2,0.323,112,11,284.4
James Augustine,18.5,,16.5,1,21
James Ennis,243.2,0.3686,155.6,14,323.8
James Harden,1142.6,0.3675,373.2,35,1720.1
James Johnson,377.3,0.2726,207.1,51.9,456.4
James Jones,214.5,0.392071429,91.14285714,15.57142857,265.5
James Lang,9,,11,3,11
James Michael McAdoo,63,0.345333333,47,11.75,83.5
James Nunnally,33.5,0.3525,11.5,1,35.5
James Posey,505,0.342,340.3636364,24.09090909,614.2727273
James Robinson,11,0.4,8,1,10
James Singleton,156.6,0.29,182,23.4,190.8
James Southerland,15,0.5,8,2,14
James Thomas,19.5,,38,3.5,27
James Webb III,24,0.211,24,0,16
James White,54,0.375666667,22.66666667,2,60.66666667
James Young,52.5,0.283,24,1.25,54.75
Jamie Feick,23,,56,3,22
Jamil Wilson,81,0.429,32,8,105
Jamison Brewer,23.5,0.13925,12.5,0.5,22.25
JaMychal Green,355.4,0.2896,327,23.2,445.8
Jan Vesely,168.3333333,0,187.3333333,28,196.6666667
Jannero Pargo,285.4545455,0.355909091,63.72727273,2.545454545,288.6363636
Jared Cunningham,43.25,0.3565,14,0.5,49.25
Jared Dudley,423.25,0.374,228.4166667,13.33333333,540.5833333
Jared Jeffries,248,0.213636364,233,29.36363636,273
Jared Reiner,36.5,,54.5,6.5,27
Jared Sullinger,537,0.2402,401.2,32.2,578.6
Jared Terrell,12,0.25,2,1,4
Jarell Eddie,28.66666667,0.189666667,10.33333333,0.333333333,29
Jarell Martin,205.5,0.22225,152.25,17.75,235
Jaren Jackson,38.5,0.3695,14.5,0,39
Jaren Jackson Jr.,420,0.333,201,68,574
Jarnell Stokes,14.33333333,,13.33333333,1.666666667,22.33333333
Jaron Blossomgame,66,0.333,65,4,75
Jarrett Allen,360.5,0.2465,373.5,77,545.5
Jarrett Jack,590.2307692,0.306230769,191.3076923,8.230769231,719.1538462
Jarrod Uthoff,38,0.333,22,4,40
Jarron Collins,150,0,157.9,9.8,209.5
Jarvis Hayes,480.4285714,0.352142857,190,8,507.5714286
Jarvis Varnado,33.5,,36,15.5,53.5
Jason Caffey,229,0,193,15,298
Jason Collier,148.6,0.16975,88.6,6.4,168.2
Jason Collins,171.8461538,0.2083,208.1538462,27.61538462,201.6153846
Jason Hart,163.6666667,0.210857143,63,3.777777778,180.3333333
Jason Kapono,336.2222222,0.388777778,93.77777778,2.777777778,377.5555556
Jason Kidd,805.0769231,0.353230769,473.9230769,23.61538462,915.4615385
Jason Maxiell,282.3,0,257.6,49,348.1
Jason Richardson,975.4615385,0.361,326.5384615,28.23076923,1126.461538
Jason Smith,304.2727273,0.2348,188.0909091,37.09090909,342.3636364
Jason Terry,832.5,0.382611111,172.6666667,14.72222222,1012.444444
Jason Thompson,531.875,0.061857143,485,51.75,651.25
Jason Williams,610.9,0.3325,142.7,5.1,662.6
JaVale McGee,315.8181818,0.166714286,264.3636364,83.63636364,416.9090909
Javaris Crittenton,259,0.2015,138,4,297.5
Jawad Williams,114.6666667,0.315,44.33333333,2.666666667,113.3333333
Jawun Evans,131.5,0.139,47,3,117.5
Jay Williams,685,0.322,195,17,714
Jaylen Adams,10,0.333,3,1,8
Jaylen Brown,542,0.346666667,241,22,666.3333333
Jaylen Morris,21,0.2665,10.5,0.5,19
Jayson Tatum,707,0.4035,335.5,44.5,912.5
Jeff Adrien,111.4,0,131.8,15.8,141.8
Jeff Ayres,86.5,0.25,105.3333333,11,115
Jeff Foote,6,,6,1,4
Jeff Foster,244.8333333,0.142083333,434.6666667,25.58333333,308.6666667
Jeff Green,819.2727273,0.329909091,342.3636364,40.63636364,987.5454545
Jeff McInnis,589,0.253875,133.875,3.375,627.625
Jeff Taylor,243.6666667,0.306333333,87.66666667,7,269
Jeff Teague,706.8,0.343,172,24.1,886.6
Jeff Trepagnier,33.66666667,0.333333333,14.33333333,1.333333333,29.33333333
Jeff Withey,94.8,0.05,103.6,31.2,133.2
Jelani McCoy,115.6666667,,110.5,21.16666667,136.3333333
Jerami Grant,426.6,0.312,259.2,81.4,565.8
Jerel McNeal,11,0.5,3,1,9
Jeremy Evans,91.42857143,0.108333333,91.57142857,17.28571429,125.5714286
Jeremy Lamb,465.5714286,0.329,197,18.57142857,550.7142857
Jeremy Lin,455.4444444,0.349,139.2222222,18.55555556,587
Jeremy Pargo,200,0.3005,43,1,195.5
Jeremy Richardson,33,0.462666667,8.333333333,0,28.66666667
Jeremy Tyler,116.3333333,0,89.66666667,14,124.3333333
Jerian Grant,337.25,0.31475,123.5,7.25,394.5
Jermaine Jackson,52.75,0.2125,33.5,2.25,63.75
Jermaine O'Neal,738.2857143,0.089272727,472.1428571,119.0714286,892.2857143
Jermaine Taylor,157.5,0.269,54,4,175.5
Jermareo Davidson,80,,48,9,81
Jerome Beasley,3,,1,0,2
Jerome Dyson,48,0.125,19,2,67
Jerome James,164.375,0,135.25,47.25,189.5
Jerome Jordan,63.5,,66,10.5,90
Jerome Kersey,69,0,45,8,72
Jerome Moiso,64.6,0,79,13.6,77.2
Jerome Robinson,18,0.556,3,0,23
Jerome Williams,359.2,0.04175,435.2,17.8,472.4
Jerrelle Benimon,0,,3,0,0
Jerry Smith,14,0.167,7,0,7
Jerry Stackhouse,605.6153846,0.305230769,136.6153846,13.92307692,734.6923077
Jerryd Bayless,361,0.348363636,107.0909091,6.454545455,428.5454545
Jeryl Sasser,110.5,0.295,95.5,6,102
Jevon Carter,44,0.231,11,2,32
Jim Jackson,545.6666667,0.383666667,268,10.33333333,590.8333333
Jim McIlvaine,28,,35,15,28
Jimmer Fredette,250.6,0.3884,47.2,2.2,283.2
Jimmy Butler,740.5,0.330625,301.75,28.625,1026.75
Jiri Welsch,320,0.3065,150.5,3.75,379.75
Joakim Noah,367.8333333,0,489.1666667,71,469.8333333
Jodie Meeks,436.6666667,0.375888889,123.1111111,3.888888889,548.5555556
Joe Alexander,125.5,0.174,60,15,141
Joe Crawford,10,0.25,4,0,9
Joe Crispin,68,0.385,11,0,79
Joe Harris,300.4,0.3792,120.6,7.4,392
Joe Ingles,452.2,0.399,222.8,10.4,558.4
Joe Johnson,1042.294118,0.363411765,297.5882353,15.29411765,1200.294118
Joe Smith,452.7272727,0.1439,351.8181818,40.54545455,540.6363636
Joe Young,142.3333333,0.271,43.33333333,0.333333333,143
Joel Anthony,77.6,,135.3,53.1,106.4
Joel Bolomboy,11,0.125,13.5,1,15.5
Joel Embiid,751,0.328666667,497.3333333,89.66666667,1068.666667
Joel Freeland,151.6666667,0,172.6666667,18.66666667,159
Joel Przybilla,124.9230769,0,281.9230769,64.30769231,176.3846154
Joey Dorsey,66.5,0,128.25,11,86
Joey Graham,296,0.322,176.3333333,7.166666667,373.1666667
Joffrey Lauvergne,248.75,0.1925,197.25,8.5,289.75
Johan Petro,264.25,0.208333333,229.5,29.25,275.25
John Amaechi,292,0,151.3333333,15.33333333,308
John Coker,8,,5,0,2
John Collins,461.5,0.3365,415.5,45.5,656
John Crotty,104.6666667,0.442666667,39.33333333,0.333333333,130
John Edwards,47,,33.5,9.5,49.5
John Henson,355.7142857,0.083,315.1428571,85.71428571,451.7142857
John Holland,29.5,0.306,12,1,27
John Jenkins,120,0.3648,42.6,2.4,146.8
John Lucas III,148.125,0.23175,29.625,0.25,143.375
John Salmons,536.8461538,0.348,200.2307692,18.38461538,637.8461538
John Starks,498,0.3285,111,5,494.5
John Stockton,688.6666667,0.382,230.3333333,20.33333333,976.6666667
John Thomas,50.5,,58.5,7.5,63
John Wall,1011.888889,0.292888889,275.8888889,44,1208.777778
John Wallace,198.3333333,0.301,75.66666667,11,208.6666667
Johnathan Motley,41.5,0.0835,26.5,1,54
Johnathan Williams,20,,21,4,23
Johnny Newman,421.5,0.3605,112.5,7,546.5
Johnny O'Bryant,132.5,0.608666667,88,4.75,127.25
Jon Barry,321.8333333,0.399833333,136.8333333,9.666666667,417
Jon Brockman,80.66666667,0,157.3333333,3,106.6666667
Jon Leuer,249.375,0.21475,175.5,12.625,295.25
Jonah Bolden,59,0.267,70,14,75
Jonas Jerebko,343.2222222,0.360777778,272.4444444,16,419.8888889
Jonas Valanciunas,554,0.241,565.8571429,68.42857143,789.1428571
Jonathan Bender,164.4285714,0.325666667,80.14285714,23.42857143,198.4285714
Jonathan Gibson,59,0.4165,12.5,0,70
Jonathan Isaac,198.5,0.319,136.5,35,218
Jonathon Simmons,419.5,0.308,143.75,14.75,505.5
Jonny Flynn,459.6666667,0.320666667,102.3333333,2.333333333,501.3333333
Jordan Adams,46,0.2,15,3.5,50.5
Jordan Bell,140.5,0,157.5,45,188
Jordan Clarkson,870.8,0.3362,221.4,8.4,997.2
Jordan Crawford,521.6666667,0.36,117.1666667,3.833333333,572
Jordan Farmar,345.2,0.3809,95.8,5.6,388.8
Jordan Hamilton,167.8,0.3702,85.8,6.8,178
Jordan Hill,341.625,0.039,298.625,34,404
Jordan Loyd,3,1,5,0,12
Jordan McRae,79.66666667,0.269333333,22,2.666666667,88
Jordan Mickey,46,0.0625,42.66666667,9,50.66666667
Jordan Williams,152,,156,15,197
Jorge Garbajosa,277,0.3585,172.5,7.5,294.5
Jorge Gutierrez,35.33333333,0.083333333,18,0.333333333,45.66666667
Jose Calderon,458.8571429,0.370642857,152.7142857,5.071428571,564.0714286
Joseph Forte,23.5,0,8.5,0,15
Josh Akognon,4,0.5,1,0,5
Josh Boone,260.5,,314.5,44.5,335
Josh Childress,321.375,0.284571429,231.25,23,443.5
Josh Davis,37.5,0.1665,28.75,1.25,39
Josh Gray,41,0.231,10,2,32
Josh Harrellson,80,0.308666667,75.66666667,12,88.33333333
Josh Hart,366,0.371,221,22.5,454
Josh Howard,616.1,0.3141,288.6,27.6,727
Josh Huestis,68.33333333,0.484666667,60,16,62.33333333
Josh Jackson,671.5,0.2855,265.5,30.5,721
Josh Magette,46,0.364,19,1,46
Josh McRoberts,179.2727273,0.262909091,153.2727273,17.63636364,212.0909091
Josh Okogie,232,0.26,107,15,254
Josh Powell,162.2857143,0.146,133.1428571,9.714285714,175.1428571
Josh Richardson,572.75,0.38525,180,40,663
Josh Selby,47,0.15,10,0,41.5
Josh Smith,865.1538462,0.253583333,511.7692308,131.7692308,999.6923077
Jrue Holiday,844.8,0.3626,236.8,29.7,964.1
Juan Carlos Navarro,766,0.361,210,1,896
Juan Dixon,484.7142857,0.343571429,116.5714286,4.857142857,525.4285714
Juan Hernangomez,184.6666667,0.363333333,151.6666667,11.33333333,250.3333333
Juaquin Hawkins,148,0.417,78,6,134
Jud Buechler,141,0.383,105,9,152
Julian Wright,198.75,0.26125,132.75,17.25,226.75
Julius Hodge,12.5,,7.5,0,14
Julius Randle,619.8,0.2675,503.4,27,816
Julyan Stone,15.75,0.298,19.25,2,20
Jumaine Jones,427.7142857,0.334142857,278.4285714,19.85714286,466.8571429
Junior Harrington,260.6666667,0.278333333,127,8.333333333,244.3333333
Justin Anderson,221.25,0.28,126.75,15.5,262
Justin Dentmon,15,0.143,4,0,13
Justin Hamilton,192.3333333,0.320666667,134.3333333,24.33333333,229
Justin Harper,17.66666667,0.294666667,6,1,15
Justin Holiday,375,0.328833333,145.1666667,20.33333333,415.8333333
Justin Jackson,338.5,0.341,157,12,383.5
Justin Patton,2,,0,0,2
Justin Reed,143.6666667,0,62,6.333333333,157.3333333
Justin Williams,58.5,0,82,10.5,82.5
Justise Winslow,395,0.30975,265.25,19.25,420
Jusuf Nurkic,522.2,0.025,439.8,71.6,631.2
Juwan Howard,577.1538462,0.071428571,335.3076923,13.61538462,662.3076923
K.J. McDaniels,225,0.29,108,31.33333333,260.6666667
Kadeem Allen,22,0,11,2,19
Kalin Lucas,1,,0,0,0
Kaniel Dickens,6.666666667,0.333,4,0.666666667,7.333333333
Kareem Rush,312.7142857,0.338857143,81.71428571,10.57142857,316.1428571
Karl Malone,1108.25,0.2435,587.5,43,1471.75
Karl-Anthony Towns,1131,0.3775,855.25,110.25,1571.25
Kasib Powell,95,0.242,44,2,84
Kawhi Leonard,697.5,0.3735,349,38.5,952
Kay Felder,114,0.2645,29.5,4,111.5
Kedrick Brown,125.25,0.1615,86.75,7,127.25
Keita Bates-Diop,9,0,4,1,4
Keith Appling,8,0,1,0,6
Keith Benson,1,,3,0,0
Keith Bogans,341.7272727,0.357272727,165.1818182,6.181818182,387
Keith Langford,4,,2,0,2
Keith McLeod,254.5,0.24975,67,6.75,276.25
Keith Van Horn,767.1666667,0.373833333,411.1666667,26.16666667,922.6666667
Kelenna Azubuike,349.6,0.389,165.8,20.6,435.6
Kelly Olynyk,500.8333333,0.361333333,319.8333333,29.5,647.1666667
Kelly Oubre Jr.,474,0.31725,234.25,23,562.5
Kelvin Cato,208,0,297.5714286,58.71428571,280
Kemba Walker,1142.125,0.347375,267.125,27.25,1374
Ken Johnson,37,,32,12,32
Kendall Gill,410,0.2628,158,10,398.6
Kendall Marshall,197.25,0.358,63.25,2.5,200.5
Kendrick Perkins,229.9285714,0,323.7142857,64.5,301
Kenneth Faried,473.25,0.1375,459.75,46.625,638.375
Kenny Anderson,356.4,0.2922,129.8,4.4,362.8
Kenny Satterfield,191,0.219,47.5,1.5,160.5
Kenny Thomas,443.5,0.112,390.4,25.4,528.2
Kenrich Williams,18,0.2,11,0,15
Kent Bazemore,473.2857143,0.345428571,194,31,559.2857143
Kentavious Caldwell-Pope,745.6666667,0.342,241.6666667,13.33333333,851.8333333
Kenyon Martin,535.4,0.177692308,343.9333333,57.6,621.6666667
Keon Clark,437.75,0,373.75,106.5,523.75
Kerry Kittles,670.75,0.36125,221.5,26,772.75
