Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Gainesville,1035,6.433333333333334,0.29233333333333333,0.39266666666666666,809.6666666666666
Galveston,712,5.05,0.352,0.394,568.0
Gardena,284,4.949999999999999,0.36950000000000005,0.395,235.5
Garland,889,13.5,0.336,0.409,3659.0
Gary,1745,7.314285714285715,0.2701666666666667,0.4407142857142858,1091.857142857143
Gastonia,2892,12.975000000000001,0.29966666666666664,0.49175,2821.75
Gibson,147,2.6,1.0,0.406,244.0
Glen Ridge,1504,11.3,0.222,0.4865,2847.5
Glendive,161,7.5,0.331,0.373,342.0
Glendora,287,5.2,0.35200000000000004,0.39299999999999996,516.0
Glens Falls,235,3.7,0.381,0.41200000000000003,236.0
Goldsboro,591,7.7,0.307,0.452,808.0
Goodwater,286,6.3,0.32899999999999996,0.461,1227.0
Grambling,67,4.2,0.284,0.332,185.0
Grand Island,18,1.7,,0.5,9.0
Grand Rapids,1013,7.616666666666667,0.1562,0.4868333333333333,908.3333333333334
Grandview,259,8.8,0.365,0.43200000000000005,757.0
Granite City,5,0.0,,0.0,2.0
Gray,417,11.8,0.21100000000000002,0.465,1262.0
Great Falls,24,2.4,0.25,0.345,32.0
Green Bay,152,3.5,0.335,0.41200000000000003,155.0
Greenbrae,3,1.7,0.5,0.5,1.0
Greencastle,610,8.2,0.0,0.483,1781.0
Greensboro,1342,9.700000000000001,0.08925000000000001,0.48275,2509.75
Greenville,1359,10.280000000000001,0.2064,0.454,1107.0
Greenwood,212,5.45,0.168,0.3705,266.0
Gretna,185,10.6,0.28300000000000003,0.435,720.0
Gulfport,673,10.3,0.177,0.44499999999999995,607.0
Hacienda Heights,746,5.1,0.111,0.467,3506.0
Hagerstown,629,12.9,0.397,0.41700000000000004,1774.0
Halifax,239,3.4,0.257,0.413,184.0
Hamburg,1186,8.75,0.326,0.3475,3748.5
Hamilton,865,7.9,0.295,0.42400000000000004,1334.5
Hampton,1525,11.825,0.32625,0.425,1722.0
Hamtramck,768,17.4,0.262,0.501,6198.0
Harbor City,449,5.85,0.32899999999999996,0.562,998.5
Harlem,901,4.5,0.361,0.4595,1242.0
Harper,906,13.2,0.335,0.48100000000000004,4355.0
Harpersville,68,3.6,,0.5920000000000001,233.0
Harrisburg,2,1.5,,0.33299999999999996,2.5
Harrisonburg,1539,13.55,0.28700000000000003,0.47150000000000003,3314.0
Hartford,2995,7.166666666666667,0.19340000000000002,0.46016666666666667,3147.3333333333335
Harvey,2134,7.233333333333333,0.24050000000000002,0.46,1669.5
Hattiesburg,1725,15.65,0.244,0.4925,4120.0
Haverhill,127,5.1,0.282,0.41200000000000003,474.0
Havre De Grace,110,3.2,0.0,0.41600000000000004,119.0
Hays,9,3.1,0.235,0.37799999999999995,11.0
Hempstead,912,9.3,0.405,0.46,2780.0
Henderson,22,5.7,0.0,0.405,35.0
Hendersonville,4,1.2,,0.4,6.0
Henrico Valley,232,15.3,0.32799999999999996,0.434,657.0
Herleton,136,2.8,,0.449,684.0
Hershey,536,9.5,0.245,0.527,1286.0
Hibbing,971,17.9,0.261,0.5539999999999999,7122.0
Hickory,258,5.3,0.0,0.40650000000000003,371.0
Hicksville,510,10.2,0.0,0.523,2730.0
Highland Park,126,4.2,0.14300000000000002,0.43,307.0
Hillister,889,16.0,0.154,0.494,9665.0
Hillsboro,54,3.4,0.0,0.46399999999999997,116.0
Hobbs,39,3.8,0.0,0.415,131.0
Hoboken,61,2.9,0.36,0.354,33.0
Hogansville,408,12.8,0.294,0.499,1300.0
Holland,2,1.0,,1.0,0.0
Hollis,28,2.8,0.4,0.46299999999999997,19.0
Hollywood,1663,4.0,0.09574999999999999,0.40180000000000005,1050.4
Homer,200,5.3,0.325,0.42,234.0
Hopkins,300,8.5,0.0,0.499,1549.0
Hopkinsville,1151,4.066666666666666,0.23166666666666666,0.2816666666666667,802.6666666666666
Houston,7993,6.7172413793103445,0.20164,0.4563793103448276,1369.6206896551723
Huntington,1478,8.533333333333333,0.3406666666666667,0.43566666666666665,1619.6666666666667
Huntington Beach,616,3.6500000000000004,0.10550000000000001,0.4905,1072.5
Huntington Station,763,13.0,0.284,0.451,5589.0
Huntsville,344,2.25,0.16899999999999998,0.4185,86.25
Hyattsville,917,7.0,0.39299999999999996,0.446,2550.0
Independence,578,2.8,0.292,0.441,1287.0
Indianaola,1002,10.3,0.188,0.441,9687.0
Indianapolis,5021,7.576923076923078,0.2525,0.4072307692307693,1721.8461538461538
Inglewood,2705,5.7555555555555555,0.15844444444444444,0.4726666666666666,967.4444444444445
Inkster,3,0.0,,,1.0
Iowa,134,3.9,0.353,0.384,166.0
Iowa City,217,3.6500000000000004,0.188,0.432,246.0
Ironton,297,6.7,0.33799999999999997,0.41600000000000004,658.0
Irvine,910,5.1,0.21100000000000002,0.452,1660.0
Islip,333,20.0,0.326,0.465,1903.0
Ithaca,48,2.1,0.0,0.41200000000000003,65.0
Jackson,6200,5.81578947368421,0.22605882352941176,0.4364736842105263,1350.0
Jacksonville,2822,8.375,0.49299999999999994,0.46612500000000007,1843.875
Jamaica,1891,5.540000000000001,0.1226,0.3872,2153.0
Janesville,73,5.0,0.353,0.441,158.0
Jasper,548,7.9,0.235,0.451,1552.0
Jersey City,1628,5.5875,0.183625,0.40800000000000003,457.375
Johnstown,683,9.6,0.0,0.49700000000000005,3825.0
Joliet,3,0.7,0.0,0.0,3.0
Jonesboro,376,7.6,0.359,0.405,830.0
Junction City,238,3.1,0.43200000000000005,0.40299999999999997,176.0
Kalamazoo,828,10.899999999999999,0.24750000000000003,0.4555,1857.0
Kankakee,1146,8.7,0.6639999999999999,0.4125,5428.0
Kansas City,3779,6.455555555555555,0.22612500000000002,0.40244444444444444,1016.6666666666666
Kenosha,880,14.4,0.35700000000000004,0.405,2545.0
Kettering,784,14.3,0.225,0.498,1593.0
Key West,987,21.1,0.25,0.518,10497.0
King,95,2.8,0.3,0.429,286.0
Kingston,41,1.9,0.0,0.405,46.0
Kinston,2114,9.4,0.21550000000000002,0.47625,2445.25
Knoxville,796,4.1000000000000005,0.16166666666666665,0.44766666666666666,935.6666666666666
Kohler,592,4.2,0.16399999999999998,0.423,1933.0
La Mesa,474,7.9,0.0,0.5105,2471.0
LaGrange,87,5.2,0.35,0.47100000000000003,123.0
LaPorte,600,11.1,0.379,0.435,1526.0
Lacrosse,636,9.8,0.0,0.479,1221.0
Lafayette,621,6.25,0.28049999999999997,0.4295,1083.5
Laguna,87,3.3,0.0,0.408,261.0
Lake City,681,6.8,0.0,0.467,2986.0
Lake Wales,1717,12.333333333333334,0.18200000000000002,0.4626666666666666,4204.333333333333
Lakeland,231,5.15,0.17,0.477,306.0
Lakewood,1022,4.95,0.4645,0.4505,1541.5
Lancaster,80,2.2,0.0,0.493,133.0
Landover,27,7.6,0.315,0.38799999999999996,100.0
Lanham,16,1.8,,0.636,33.0
Lansing,1404,10.366666666666667,0.28350000000000003,0.4023333333333334,1269.8333333333333
Las Vegas,3041,6.1625,0.30674999999999997,0.39649999999999996,896.75
Lauderdale Lakes,5,1.6,,0.8,2.0
Laurel,144,3.5,0.293,0.41,170.0
Lawrence,1002,9.05,0.1165,0.323,3475.5
Lawton,439,5.7,0.1175,0.40549999999999997,730.0
Leavenworth,51,3.3,,0.469,99.0
Lebanon,520,5.55,0.302,0.2885,1924.0
Leeds,1073,22.1,0.266,0.541,12546.0
Lenoir County,389,10.0,0.192,0.46,1235.0
Lewisburg,89,3.5,0.35,0.43700000000000006,131.0
Lexington,1100,4.125,0.2101666666666667,0.40225,398.375
Libby,53,1.8,0.0,0.429,69.0
Liberal,41,3.1,0.48350000000000004,0.479,29.0
Libertyville,463,4.7,0.43,0.43700000000000006,590.0
Lima,8,2.6,,0.6920000000000001,4.0
Lincoln,1056,3.7,0.1945,0.432,662.25
Lincolnton,652,8.3,0.226,0.46,1981.0
Linden,137,4.8,0.5,0.483,483.0
Linwood,8,0.6,0.0,0.25,5.0
Litchfield,74,5.1,0.0,0.478,270.0
Lithonia,6,4.8,0.5,0.5,12.0
Little Rock,3562,8.683333333333334,0.3145,0.42650000000000005,1915.3333333333333
Livingston,730,3.65,0.134,0.20600000000000002,892.5
Loblesville,27,1.2,0.0,0.23199999999999998,27.0
Lockport,123,6.1499999999999995,0.264,0.46799999999999997,137.5
Lockwood,4,1.0,,0.33299999999999996,6.0
Lodi,963,13.2,0.0,0.525,6106.0
Lompoc,586,7.0,0.305,0.40700000000000003,1030.0
Long Beach,3400,4.707142857142857,0.24964285714285714,0.422,789.2142857142857
Long Branch,164,8.0,0.326,0.442,358.0
Long Island,47,2.45,0.308,0.405,29.0
Long Lake,283,3.8,0.353,0.485,1085.0
Longview,30,1.3,0.0,0.42200000000000004,22.0
Los Alamos,5,0.8,,0.25,1.0
Los Angeles,22046,6.366233766233769,0.2574264705882352,0.3954025974025973,1051.8311688311687
Los Gatos,56,4.9,0.396,0.415,65.0
Louisville,5868,7.583333333333333,0.2700625,0.4477777777777777,1691.111111111111
Lubbock,1551,8.933333333333332,0.2945,0.45966666666666667,2151.6666666666665
Lynn,1,2.0,,0.33299999999999996,1.0
Macon,974,9.033333333333333,0.1885,0.4463333333333333,1005.3333333333334
Madison,1078,5.775,0.18875,0.40725,786.25
Madison County,340,4.4,0.0,0.46399999999999997,1200.0
Malvern,430,7.5,0.353,0.41100000000000003,958.0
Mamou,606,6.5,0.363,0.39299999999999996,1364.0
Marietta,2369,11.28,0.33525,0.4606,2279.4
Marion,1958,6.4750000000000005,0.26666666666666666,0.395,3018.75
Martinsville,598,6.9,0.271,0.507,817.0
Maui,609,14.3,0.309,0.5,3258.0
Mauldin,1462,17.8,0.275,0.49700000000000005,14662.0
Maysville,102,8.2,0.35100000000000003,0.42,131.0
Maywood,1225,5.066666666666666,0.13633333333333333,0.415,1810.3333333333333
McComb,69,5.0,,0.539,205.0
McGehee,2025,4.35,0.061500000000000006,0.477,6969.0
McGhee,374,4.4,0.111,0.49,1323.0
McKees Rocks,4,2.3,0.33299999999999996,0.667,3.0
McMinnville,43,2.1,0.0,0.415,60.0
Mechanicsburg,69,3.5,0.385,0.35200000000000004,63.0
Melbourne,792,4.7,0.067,0.515,3918.0
Melrose,946,9.4,0.122,0.49200000000000005,5033.0
Melrose Park,1930,15.85,0.34950000000000003,0.4485,4413.0
Memphis,7377,5.793103448275862,0.23235714285714285,0.4414827586206897,826.2068965517242
Menifee,78,4.2,0.34,0.40700000000000003,80.0
Merced,2221,8.9,0.3893333333333333,0.409,2575.3333333333335
Meriden,85,2.1,0.0,0.36350000000000005,65.0
Meridian,1111,8.066666666666666,0.3375,0.42166666666666663,1632.0
Mesa,19,2.8,0.444,0.442,28.0
Mexico,554,8.5,0.391,0.43700000000000006,943.0
Miami,1853,5.516666666666666,0.22080000000000002,0.39033333333333337,1902.6666666666667
Middletown,851,4.075,0.15866666666666665,0.30125,578.75
Midlothian,27,1.6,,0.514,33.0
Milan,984,7.9,0.146,0.457,6095.0
Millersville,565,7.0,0.2,0.467,1759.0
Millington,55,8.0,0.25,0.42,286.0
Millstone Township,2,0.0,,,0.0
Milton,197,3.5,0.1475,0.4155,151.5
Milwaukee,6763,5.844444444444444,0.2984375,0.4081111111111111,1209.2777777777778
Minden,582,7.7,0.3,0.42,3417.0
Minneapolis,2573,4.169230769230769,0.20389999999999997,0.39615384615384613,607.1538461538462
Minot,437,5.6,0.0,0.48100000000000004,2681.0
Missoula,420,8.2,0.139,0.457,2051.0
Missouri City,11,1.4,0.0,0.385,11.0
Mitchell,1016,10.6,0.40700000000000003,0.45899999999999996,4342.0
Mobile,3151,8.549999999999999,0.15614285714285714,0.44062500000000004,2160.5
Monaca,961,8.2,0.321,0.51,1738.0
Monroe,3482,9.200000000000001,0.207,0.4825714285714286,2856.714285714286
Monrovia,644,3.6,0.115,0.47100000000000003,2690.0
Monterey,103,3.2,0.311,0.358,180.0
Montgomery,710,5.6000000000000005,0.2048,0.4543333333333333,569.1666666666666
Monticello,1353,4.65,0.0,0.522,3586.5
Montross,82,3.7,0.28,0.39399999999999996,233.0
Moreno Valley,24,1.8,0.462,0.415,25.0
Morgan City,59,3.5,0.2,0.365,64.0
Morgantown,82,1.3,0.0,0.508,191.0
Morristown,907,7.5,0.294,0.46199999999999997,3088.0
Morrisville,353,4.8,0.133,0.467,1692.0
Moses Lake,169,4.0,0.20800000000000002,0.44299999999999995,218.0
Mount Airy,256,5.2,,0.544,1258.0
Mount Kisco,13,1.4,,0.615,11.0
Mount Vernon,3098,8.299999999999999,0.25133333333333335,0.44199999999999995,1348.4444444444443
Mullens,180,3.3,0.0,0.414,262.0
Muncie,1476,6.4399999999999995,0.1726,0.42000000000000004,823.6
Murfreesboro,13,1.3,0.231,0.25,1.0
Murray,506,4.4,0.0,0.494,2351.0
Nachitoches,691,20.1,0.152,0.518,4817.0
Nansemond County,13,4.6,0.133,0.32899999999999996,15.0
Naperville,494,9.1,0.40399999999999997,0.444,1574.0
Nashville,830,6.0,0.145,0.4303333333333334,387.3333333333333
Nederland,781,5.4,0.0,0.53,4531.0
Neenah,25,1.2,0.25,0.23399999999999999,12.0
Neptune,429,3.95,0.14800000000000002,0.46349999999999997,703.5
New Albany,9,2.8,,0.324,13.0
New Brighton,7,1.7,1.0,0.444,1.0
New Britain,1,4.0,1.0,1.0,0.0
New Canaan,23,1.3,,0.36700000000000005,46.0
New Castle,680,9.1,0.20600000000000002,0.493,3881.0
New Haven,1270,9.02,0.227,0.4204,794.2
