Player Name,Years Played,Birth City,Birth State,Birth Country,Playing City,Seasons Played,Games Played,Minutes Played,Field Goals %,3 Points %,Total Rebounds,Total Points
Sidney Moncrief,11,Little Rock,Arkansas,USA,Atlanta,10,767,23150,0.502,0.284,3575,15.6
Gaylon Nickerson,1,Osecola,Arkansas,,,0,4,42,0.333,0,5,3.8
Dennis Nutt,1,Little Rock,Arkansas,USA,Dallas,0,25,91,0.4,0.294,8,2.3
Jimmy Oliver,5,Menifee,Arkansas,USA,,4,78,856,0.407,0.34,80,4.2
Scottie Pippen,17,Hamburg,Arkansas,USA,Chicago,17,1178,41069,0.473,0.326,7494,16.1
Bryant Reeves,6,Fort Smith,Arkansas,USA,Vancouver,5,395,12071,0.475,0.074,2745,12.5
Glen Rice,15,Jacksonville,Arkansas,USA,,14,1000,34985,0.456,0.4,4387,18.3
Paul Silas,16,Prescott,Arkansas,USA,Seattle,15,1254,34989,0.432,,12357,9.4
Jeff Taylor,2,Blytheville,Arkansas,USA,Detroit,1,56,818,0.412,0,82,3.2
Jeff Webster,1,Pine Bluff,Arkansas,USA,Washington,0,11,58,0.348,0.333,7,1.6
Sonny Weems,4,West Memphis,Arkansas,USA,,3,183,3335,0.465,0.283,402,6.5
Corliss Williamson,12,Russellville,Arkansas,USA,Sacramento,12,822,18749,0.49,0.136,3183,11.1
Alex Acker,2,Compton,California,USA,Los Angeles,2,30,234,0.37,0.32,29,2.7
Mark Acres,6,Inglewood,California,USA,Washington,5,375,5982,0.506,0.538,1525,3.6
Hassan Adams,2,Inglewood,California,USA,,1,73,547,0.534,0,84,2.5
Josh Akognon,1,Greenbrae,California,USA,Dallas,1,3,9,0.5,0.5,1,1.7
Ray Allen,18,Merced,California,USA,Miami,17,1300,46344,0.452,0.4,5272,18.9
Darrell Allums,1,Los Angeles,California,USA,Dallas,0,22,276,0.343,0,65,2.7
Lou Amundson,10,Ventura,California,USA,New York,10,428,5507,0.474,0,1541,3.7
Chris Andersen,15,Long Beach,California,USA,,14,695,12273,0.532,0.221,3493,5.4
Richard Anderson,6,San Pedro,California,USA,Charlotte,5,407,6002,0.412,0.333,1418,5.6
Gilbert Arenas,11,Los Angeles,California,USA,Memphis,11,552,19351,0.421,0.351,2168,20.7
Brandon Armstrong,3,San Francisco,California,USA,New Jersey,3,108,699,0.352,0.333,63,2.2
Stacey Augmon,15,Pasadena,California,USA,Orlando,15,1001,21658,0.469,0.152,3216,8
Ken Austin,1,Los Angeles,California,USA,Detroit,0,7,28,0.462,,3,1.7
Dennis Awtrey,12,Hollywood,California,USA,Portland,11,733,14159,0.459,,3342,4.8
Jeff Ayres,6,Ontario,California,USA,Los Angeles,6,237,2322,0.553,0.4,632,2.9
Toby Bailey,2,Los Angeles,California,USA,New York,2,73,698,0.407,0.2,126,3.3
Greg Ballard,11,Los Angeles,California,USA,Seattle,10,802,22073,0.472,0.338,4858,12.4
Matt Barnes,14,Santa Clara,California,USA,Golden State,14,880,20814,0.438,0.334,4016,8.2
Drew Barry,3,Oakland,California,USA,Atlanta,2,60,598,0.417,0.381,67,2.2
Jon Barry,14,Oakland,California,USA,,13,821,13880,0.434,0.392,1513,5.7
Mike Batiste,1,Long Beach,California,USA,,1,75,1248,0.422,0.222,257,6.4
Jerome Beasley,1,Compton,California,USA,Miami,1,2,5,0.333,,1,1
Corey Benjamin,4,Compton,California,USA,,4,153,2191,0.39,0.289,259,5.5
Corie Blount,11,Monrovia,California,USA,Toronto,11,644,9925,0.471,0.115,2690,3.6
Etdrick Bohannon,4,San Bernardino,California,USA,,3,26,152,0.429,,44,1.4
Bruce Bowen,13,Merced,California,USA,San Antonio,13,873,24052,0.409,0.393,2428,6.1
Cedric Bozeman,1,Los Angeles,California,USA,,0,23,199,0.282,0.154,23,1.1
Craig Brackins,2,Los Angeles,California,USA,Philadelphia,2,17,121,0.265,0.214,19,1.8
Torraye Braggs,2,Fresno,California,USA,Houston,2,22,178,0.475,,51,2.1
Mike Bratz,9,Lompoc,California,USA,Sacramento,8,586,10613,0.407,0.305,1030,7
Scott Brooks,10,French Camp,California,USA,Cleveland,9,680,9237,0.45,0.372,685,4.9
Anthony Brown,2,Bellflower,California,USA,Minnesota,3,38,742,0.317,0.277,96,3.9
Derrick Brown,3,Oakland,California,USA,Charlotte,3,171,2554,0.515,0.317,413,5.2
Gerald Brown,1,Los Angeles,California,USA,Phoenix,0,33,236,0.371,0.3,22,2.4
Jabari Brown,1,Oakland,California,USA,Los Angeles,1,19,568,0.412,0.371,36,11.9
Lewis Brown,1,Los Angeles,California,USA,Washington,0,2,5,0,,2,1
Chase Budinger,7,Encinitas,California,USA,Phoenix,7,407,7998,0.43,0.352,1240,7.9
Jud Buechler,12,San Diego,California,USA,Orlando,11,720,8444,0.433,0.366,1266,3.3
Greg Butler,3,Inglewood,California,USA,Los Angeles,2,55,210,0.354,0,53,1.4
Mitchell Butler,8,Los Angeles,California,USA,Washington,8,362,5464,0.438,0.304,717,5.2
Elden Campbell,15,Los Angeles,California,USA,Detroit,15,1044,25776,0.46,0.054,6116,10.3
Bill Cartwright,15,Lodi,California,USA,Seattle,14,963,27491,0.525,0,6106,13.2
Phil Chenier,10,Berkeley,California,USA,Golden State,9,578,19116,0.444,0.4,2063,17.2
Will Cherry,1,Oakland,California,USA,,1,8,69,0.263,0.222,5,1.9
Josh Childress,8,Harbor City,California,USA,,9,391,10432,0.522,0.329,1850,9.1
Chris Childs,9,Bakersfield,California,USA,New Jersey,8,541,13617,0.403,0.344,1308,6.9
Patrick Christopher,1,Compton,California,USA,,0,4,29,0.25,0,6,1.5
Jarron Collins,10,Northridge,California,USA,,9,542,8542,0.455,0,1579,3.9
Jason Collins,13,Northridge,California,USA,Brooklyn,12,735,14974,0.411,0.206,2706,3.6
Anthony Cook,4,Los Angeles,California,USA,Portland,3,116,1499,0.439,0,428,3.6
Darwin Cook,8,Los Angeles,California,USA,Denver,7,612,14156,0.453,0.196,1308,9.5
Jeff Cook,8,West Covina,California,USA,Phoenix,7,518,9697,0.462,0.056,2334,5.3
David Cooke,1,Sacramento,California,USA,Sacramento,0,6,38,0.182,,10,1.5
Michael Cooper,12,Los Angeles,California,USA,Los Angeles,11,873,23635,0.469,0.34,2769,8.9
James Cotton,2,Los Angeles,California,USA,,1,19,92,0.359,0,16,2.6
John Coughran,1,Pittsburg,California,USA,Golden State,0,24,160,0.358,0.222,19,2.8
Winston Crite,2,Bakersfield,California,USA,Phoenix,1,31,264,0.479,,65,2.8
Austin Croshere,12,Los Angeles,California,USA,,11,659,11480,0.407,0.34,2649,6.8
Jared Cunningham,4,Oakland,California,USA,,3,84,605,0.347,0.306,56,2.3
Antonio Davis,13,Oakland,California,USA,,12,903,26084,0.448,0.087,6755,10
Baron Davis,13,Los Angeles,California,USA,New York,13,835,28592,0.409,0.32,3183,16.1
Austin Daye,6,Irvine,California, ,Atlanta,6,293,4132,0.402,0.351,764,5.2
Greg Deane,1,Tulare,California,USA,Utah,0,7,48,0.182,1,6,1.4
Bryce Dejean-Jones,1,Los Angeles,California,USA,,0,14,279,0.406,0.375,48,5.6
Bison Dele,8,Fresno,California,USA,Detroit,7,413,10004,0.528,0.143,2564,11
Dell Demps,3,Long Beach,California,USA,,2,20,108,0.5,0.333,9,3
Ralph Drollinger,1,La Mesa,California,USA,Dallas,0,6,67,0.5,,19,2.5
Craig Dykema,1,Lakewood,California,USA,Phoenix,0,32,103,0.459,0.5,12,1.3
Mark Eaton,11,Westminster,California,USA,Utah,10,875,25169,0.458,0,6939,6
Tyus Edney,4,Gardena,California,USA,Indiana,3,226,4743,0.405,0.322,393,7.6
Shane Edwards,1,Los Angeles,California,USA,,0,2,12,0.333,,2,1
Leron Ellis,3,Los Angeles,California,USA,Miami,2,91,857,0.433,,220,3
Wayne Englestad,1,Rosemead,California,USA,Denver,0,11,50,0.379,,16,2.5
Jordan Farmar,10,Los Angeles,California,USA,,9,504,9840,0.423,0.374,958,7.7
Tony Farmer,2,Los Angeles,California,USA,Golden State,2,101,1368,0.395,0.189,327,5.3
Noel Felix,1,Los Angeles,California,USA,Seattle,1,12,82,0.24,0.333,13,1.5
Eric Fernsten,6,Oakland,California,USA,New York,5,218,1643,0.445,,372,2.4
Landry Fields,5,Long Beach,California,USA,Toronto,4,255,6010,0.473,0.332,1092,6.8
Don Ford,7,Santa Barbara,California,USA,Cleveland,6,474,9301,0.464,0.143,1691,6.4
Greg Foster,13,Oakland,California,USA,Indiana,12,656,7974,0.44,0.225,1691,3.9
Tremaine Fowlkes,4,Los Angeles,California,USA,,3,103,1233,0.409,0.2,228,2.9
Jamaal Franklin,2,Moreno Valley,California,USA,Denver,2,24,174,0.415,0.462,25,1.8
Anthony Frederick,3,Los Angeles,California,USA,Charlotte,2,147,1640,0.439,0.273,280,4.9
Corey Gaines,5,Los Angeles,California,USA,Philadelphia,4,80,1002,0.424,0.229,69,3.1
Marlon Garnett,1,Los Angeles,California,USA,,0,24,205,0.294,0.261,21,2.1
Dean Garrett,6,Los Angeles,California,USA,Golden State,5,359,6969,0.48,,1810,4.8
John Gianelli,8,Stockton,California,USA,Utah,7,541,13650,0.47,,3188,7.8
Drew Gooden,14,Oakland,California,USA,Washington,14,790,20127,0.462,0.257,5618,11
Drew Gordon,1,San Jose,California,USA,,0,9,71,0.421,0,18,1.9
Aaron Gray,7,Tarzana,California,USA,Sacramento,6,318,3851,0.509,0,1190,3.4
Ed Gray,2,Riverside,California,USA,Atlanta,1,60,809,0.339,0.341,73,6.2
Evric Gray,1,Bloomington,California,USA,,0,5,42,0.267,0.25,3,2.6
Erick Green,2,Inglewood,California,USA,,1,52,452,0.377,0.288,37,3.1
Sean Green,3,Santa Monica,California,USA,Utah,2,84,671,0.386,0.246,85,4.2
John Greig,1,Sacramento,California,USA,Seattle,0,9,26,0.538,,6,2.1
Jack Haley,9,Long Beach,California,USA,,8,341,3288,0.425,0,922,3.5
Jordan Hamilton,5,Los Angeles,California,USA,New Orleans,5,151,2100,0.408,0.357,429,5.9
Lucious Harris,12,Los Angeles,California,USA,,11,800,15701,0.426,0.348,1864,7.2
Jason Hart,9,Los Angeles,California,USA,,9,341,5289,0.417,0.315,567,4.8
Scott Haskin,1,Riverside,California,USA,Indiana,0,27,186,0.467,,55,2
Juaquin Hawkins,1,Gardena,California,USA,Houston,1,58,685,0.385,0.417,78,2.3
Chuck Hayes,11,San Leandro,California,USA,,10,644,11815,0.498,0,3243,3.7
J.R. Henderson,1,Bakersfield,California,USA,Vancouver,0,30,331,0.365,0.4,47,3.2
Jerome Henderson,2,Los Angeles,California,USA,Milwaukee,1,7,39,0.375,,8,2.3
Conner Henry,2,Claremont,California,USA,Sacramento,1,93,756,0.378,0.379,83,3.3
Cory Higgins,2,Danville,California,USA,,1,44,455,0.324,0.2,38,3.7
Sean Higgins,6,Los Angeles,California,USA,,5,220,3334,0.428,0.321,402,6.3
Ryan Hollins,10,Pasadena,California,USA,,9,518,6134,0.584,0,1140,3.7
Tyler Honeycutt,2,Los Angeles,California,USA,,1,24,120,0.314,0.2,24,1.2
Eddie House,11,Berkeley,California,USA,Miami,11,717,12405,0.409,0.39,1223,7.5
Jay Humphries,11,Los Angeles,California,USA,Boston,10,788,23062,0.476,0.297,2003,11.1
Ralph Jackson,1,Los Angeles,California,USA,Indiana,0,1,12,0.333,,1,2
Casey Jacobsen,4,Glendora,California,USA,Memphis,4,287,5320,0.393,0.352,516,5.2
Chris Jefferies,2,Fresno,California,USA,Chicago,2,72,861,0.383,0.365,88,3.9
Chris Jent,2,Orange,California,USA,,1,6,88,0.469,0.429,16,6.2
Grant Jerrett,1,Costa Mesa,California,USA,Utah,1,8,51,0.269,0.067,9,2
Dennis Johnson,14,San Pedro,California,USA,Boston,13,1100,35954,0.445,0.172,4249,14.1
Kevin Johnson,12,Sacramento,California,USA,Phoenix,11,735,25061,0.493,0.305,2404,17.9
Orlando Johnson,3,Monterey,California,USA,,3,103,1112,0.358,0.311,180,3.2
Bobby Jones,2,Compton,California,USA,Denver,2,91,867,0.442,0.306,149,3.2
Ozell Jones,2,Long Beach,California,USA,Los Angeles,1,70,906,0.582,0,240,3.5
Jason Kapono,9,Long Beach,California,USA,,8,509,9068,0.442,0.434,844,6.7
Adam Keefe,9,Irvine,California,USA,Golden State,8,617,10334,0.502,0.071,2556,5
Rich Kelley,11,San Mateo,California,USA,Sacramento,10,814,17711,0.488,0,5678,7.6
Jason Kidd,19,San Francisco,California,USA,New York,18,1391,50111,0.4,0.349,8725,12.6
Joel Kramer,5,San Diego,California,USA,Phoenix,4,328,4184,0.479,0,916,3.8
Trajan Langdon,3,Palo Alto,California,USA,,3,119,1738,0.416,0.396,159,5.4
Eric Leckner,8,Inglewood,California,USA,Vancouver,7,449,5448,0.508,0,1418,4.1
Malcolm Lee,3,Riverside,California,USA,,2,36,534,0.382,0.294,65,3.9
Cliff Levingston,11,San Diego,California,USA,Denver,10,830,16962,0.516,0.152,4307,7.1
Todd Lichti,5,Walnut Creek,California,USA,Boston,4,237,4240,0.46,0.244,505,7.9
Don Maclean,9,Palo Alto,California,USA,,8,319,6679,0.455,0.284,1210,10.9
Tito Maddox,1,Compton,California,USA,Houston,1,9,35,0.25,0,7,1.2
Gerald Madkins,3,Merced,California,USA,Golden State,2,48,420,0.366,0.375,26,1.7
Mark Madsen,9,Walnut Creek,California,USA,Minnesota,9,453,5335,0.457,0.063,1157,2.2
Dan Mcclintock,1,Fountain Valley,California,USA,Denver,0,6,58,0.5,,17,3
Jelani Mccoy,8,Oakland,California,USA,,8,260,3824,0.539,,921,4.6
Ben Mcdonald,4,Torrance,California,USA,Golden State,3,176,3692,0.468,0.227,568,6
Dominic Mcguire,6,San Diego,California,USA,,6,342,5348,0.419,0.188,1169,2.7
Carlton Mckinney,2,San Diego,California,USA,New York,1,9,113,0.244,0,13,2.4
Mark Mcnamara,8,San Jose,California,USA,Orlando,7,278,2707,0.512,,827,3.5
Chris Mcnealy,3,Fresno,California,USA,New York,2,108,1864,0.456,,494,4.3
Dave Meyers,4,San Diego,California,USA,Milwaukee,3,281,7471,0.461,0.2,1771,11.2
Andre Miller,17,Los Angeles,California,USA,San Antonio,17,1304,40268,0.461,0.217,4795,12.5
Reggie Miller,18,Riverside,California,USA,Indiana,18,1389,47619,0.471,0.395,4182,18.2
Chris Mills,10,Los Angeles,California,USA,Golden State,10,568,17282,0.432,0.351,2808,11.2
Harold Miner,4,Inglewood,California,USA,Cleveland,3,200,3748,0.46,0.311,432,9
Darius Morris,4,Los Angeles,California,USA,Brooklyn,4,132,1464,0.384,0.322,126,3.3
Richard Morton,1,San Francisco,California,USA,Indiana,0,2,11,0.75,,0,3
Chris Munk,1,San Francisco,California,USA,Utah,0,11,29,0.429,,14,1.2
Tod Murphy,5,Long Beach,California,USA,Golden State,4,191,4071,0.454,0.29,941,5.5
Lamond Murray,11,Pasadena,California,USA,New Jersey,10,736,18477,0.43,0.36,3033,11.3
Tracy Murray,12,Los Angeles,California,USA,,12,659,12103,0.43,0.388,1649,9
Demarcus Nelson,1,Oakland,California,USA,Chicago,1,13,171,0.444,0,24,4.1
Mike Niles,1,Los Angeles,California,USA,Phoenix,0,44,231,0.348,0.5,58,2.6
Charles O'Bannon,2,Bellflower,California,,Detroit,1,48,399,0.4,0,67,2.5
Ed O'Bannon,2,Los Angeles,California,,,1,128,2062,0.367,0.222,316,5
Keith Owens,1,San Francisco,California,USA,Los Angeles,0,20,80,0.281,,15,1.3
Ray Owes,1,San Bernardino,California,USA,Golden State,0,57,592,0.417,0.2,163,3.1
Milt Palacio,7,Los Angeles,California,Belize,Utah,6,470,8421,0.419,0.235,831,4.8
Cherokee Parks,9,Huntington Beach,California,USA,,8,472,7459,0.47,0.211,1703,4.4
Andrae Patterson,2,Riverside,California,USA,,1,40,304,0.455,0,67,3
Gary Payton,17,Oakland,California,USA,Miami,17,1335,47117,0.466,0.317,5269,16.3
Mike Penberthy,2,Los Gatos,California,USA,,1,56,863,0.415,0.396,65,4.9
Desmond Penigar,1,Upland,California,USA,,1,10,89,0.5,,24,3.2
Kevinn Pinkney,1,Colton,California,USA,,0,6,100,0.444,0.5,15,5.2
Dwayne Polee,1,Los Angeles,California,USA,Los Angeles,0,1,6,0.25,0,0,2
Leon Powe,5,Berkeley,California,USA,Memphis,5,239,3320,0.515,0,911,6.2
Tayshaun Prince,14,Compton,California,USA,Minnesota,14,1017,31576,0.455,0.367,4332,11.1
Gabe Pruitt,2,Los Angeles,California,USA,Boston,2,62,461,0.321,0.283,51,2
Kurt Rambis,14,Cupertino,California,USA,Los Angeles,13,880,16299,0.534,0,4961,5.2
Kevin Restani,8,San Francisco,California,USA,Cleveland,7,550,10114,0.486,0.205,2206,6.2
Isaiah Rider,9,Oakland,California,USA,,8,563,17851,0.443,0.352,2166,16.7
Jackie Robinson,3,Los Angeles,California,USA,Chicago,2,22,185,0.463,0,27,3.8
Johnny Rogers,2,Fullerton,California,USA,Cleveland,1,69,636,0.472,0,104,3.6
Lorenzo Romar,5,South Gate,California,USA,Detroit,4,291,5188,0.464,0.211,385,5.9
Bryon Russell,13,San Bernardino,California,USA,,12,841,19805,0.431,0.369,2914,7.9
Jamal Sampson,5,Inglewood,California,USA,Denver,5,72,631,0.491,0,242,2
Brian Scalabrine,11,Long Beach,California,USA,Chicago,11,520,6772,0.39,0.344,1034,3.1
Brian Shaw,14,Oakland,California,USA,Los Angeles,14,943,21666,0.403,0.304,3183,6.9
Lonnie Shelton,10,Bakersfield,California,USA,Cleveland,9,673,18530,0.492,0.097,4136,12
Jose Slaughter,1,Los Angeles,California,USA,Indiana,0,63,515,0.374,0.22,68,3.6
Craig Smith,6,Inglewood,California,USA,Portland,5,403,6826,0.553,0.037,1567,7.6
Greg Smith,5,Vallejo,California,USA,Minnesota,5,149,1834,0.617,0,489,4
Phil Smith,9,San Francisco,California,USA,Seattle,8,659,19166,0.476,0.253,1978,15.1
Reggie Smith,2,San Jose,California,USA,Portland,1,66,384,0.394,0,120,1.5
Robert Smith,7,Los Angeles,California,USA,Cleveland,6,229,3118,0.435,0.238,288,5
Kirk Snyder,4,Los Angeles,California,USA,Minnesota,4,211,3540,0.438,0.327,491,6.3
Andre Spencer,2,Stockton,California,USA,Sacramento,1,48,771,0.445,0,154,7.2
Joe Stephens,3,Riverside,California,USA,,2,22,227,0.357,0.19,45,3.2
Alex Stepheson,1,Los Angeles,California,USA,,0,8,73,0.333,,28,2.8
Deshawn Stevenson,13,Fresno,California,USA,Atlanta,13,824,18396,0.406,0.34,1832,7.2
Derek Strong,10,Los Angeles,California,USA,Los Angeles,9,456,8548,0.43,0.18,2213,6.8
Greg Sutton,3,Santa Cruz,California,USA,Philadelphia,2,168,1946,0.396,0.361,153,4.5
Robert Swift,4,Bakersfield,California,USA,Oklahoma City,4,97,1500,0.506,,376,4.3
Anthony Taylor,1,Los Angeles,California,USA,Miami,0,21,368,0.397,0,34,6.9
Leonard Taylor,1,Los Angeles,California,USA,Golden State,0,10,37,0,0,12,1.1
Reggie Theus,13,Inglewood,California,USA,New Jersey,12,1026,34603,0.471,0.252,3349,18.5
Peter Thibeaux,2,Los Angeles,California,USA,Golden State,1,93,992,0.453,0.286,144,5
Dijon Thompson,2,Los Angeles,California,USA,,1,16,93,0.425,0.308,19,2.8
Mychel Thompson,1,Los Angeles,California,USA,,1,5,95,0.292,0.364,5,3.6
Stephen Thompson,1,Los Angeles,California,USA,Sacramento,0,19,91,0.378,0,19,1.6
Bob Thornton,8,Los Angeles,California,USA,Washington,7,283,3386,0.444,0.222,712,3
Tom Tolbert,7,Long Beach,California,USA,Charlotte,6,312,5680,0.46,0.296,1251,6.5
Raymond Townsend,3,San Jose,California,USA,Indiana,2,154,2025,0.411,0.171,157,4.8
Jeff Trepagnier,3,Los Angeles,California,USA,Denver,3,31,270,0.337,0.462,43,2.8
Henry Turner,2,Oakland,California,USA,Sacramento,1,66,464,0.453,0.25,78,3.4
Jeremy Tyler,3,San Diego,California,USA,New York,5,104,1034,0.45,0,269,3.6
Keith Van Horn,9,Fullerton,California,USA,Dallas,9,575,18150,0.443,0.361,3909,16
Nick Vanos,2,San Mateo,California,USA,Phoenix,1,68,842,0.383,0,240,3.3
Jacque Vaughn,12,Los Angeles,California,USA,San Antonio,12,776,12658,0.429,0.352,1028,4.5
Brett Vroman,1,Hollywood,California,USA,Utah,0,11,93,0.37,0,25,3.1
Jackson Vroman,2,Laguna,California,USA,,1,87,1111,0.408,0,261,3.3
Mark Wade,2,Torrance,California,USA,Dallas,1,12,126,0.15,0,15,0.7
Bill Walton,10,La Mesa,California,USA,Boston,9,468,13250,0.521,0,4923,13.3
Luke Walton,10,San Diego,California,USA,Cleveland,10,564,9685,0.429,0.326,1588,4.7
Casper Ware,1,Cerritos,California,USA,,5,9,116,0.429,0.333,9,5.3
David Wear,1,Long Beach,California,USA,,0,2,7,0,0,2,0
Paul Westphal,12,Torrance,California,USA,Phoenix,11,823,20947,0.504,0.275,1580,15.6
Eric White,2,San Francisco,California,USA,Los Angeles,1,55,788,0.525,1,132,6.1
Jamaal Wilkes,12,Berkeley,California,USA,Los Angeles,11,828,27275,0.499,0.135,5117,17.7
Freeman Williams,6,Los Angeles,California,USA,Washington,5,323,6606,0.467,0.331,510,14.7
Guy Williams,2,Los Angeles,California,USA,Golden State,1,26,144,0.456,0.25,33,2.6
John Williams,8,Los Angeles,California,USA,Indiana,7,435,10952,0.451,0.225,2201,10.1
Marcus Williams,4,Los Angeles,California,USA,Memphis,4,203,3095,0.386,0.321,361,5.6
Pete Williams,2,Harbor City,California,USA,Denver,1,58,583,0.602,,147,2.6
Scott Williams,15,Hacienda Heights,California,USA,,15,746,12220,0.467,0.111,3506,5.1
Kevin Willis,21,Los Angeles,California,USA,Dallas,21,1424,38362,0.487,0.211,11901,12.1
Trevor Wilson,4,Los Angeles,California,USA,Philadelphia,3,103,1609,0.456,0,353,5.7
Antoine Wright,6,West Covina,California,USA,,5,297,5714,0.412,0.304,681,5.4
Brad Wright,2,Hollywood,California,USA,Denver,1,16,145,0.412,0,54,3.4
Dorell Wright,11,Los Angeles,California,USA,Miami,11,549,12280,0.424,0.365,2093,8.4
Howard Wright,2,San Diego,California,USA,Orlando,1,19,174,0.442,0,47,3.3
Tim Young,1,Santa Cruz,California,USA,Golden State,0,25,137,0.333,,35,2.2
Chauncey Billups,17,Denver,Colorado,USA,Detroit,16,1043,33008,0.415,0.387,2992,15.2
Kaniel Dickens,3,Denver,Colorado,USA,,2,19,85,0.4,0.333,12,1.2
Nick Fazekas,1,Denver,Colorado,USA,Los Angeles,1,26,269,0.561,0,89,4.1
Eddie Gill,7,Aurora,Colorado,USA,,7,187,2033,0.361,0.32,207,3.1
Glen Gondrezick,6,Boulder,Colorado,USA,Denver,5,435,7545,0.473,0.143,1964,5.8
Grant Gondrezick,2,Boulder,Colorado,USA,Los Angeles,1,91,1080,0.438,0.25,146,5
Tom Hovasse,1,Durango,Colorado,USA,Atlanta,0,2,4,0,0,0,0
Joe Kleine,15,Colorado Springs,Colorado,USA,,14,965,14712,0.453,0.271,3991,4.8
Darrick Martin,13,Denver,Colorado, ,,12,514,9165,0.382,0.34,588,6.9
Chuck Nevitt,9,Cortez,Colorado,USA,San Antonio,8,155,826,0.438,,239,1.6
Michael Ruffin,9,Denver,Colorado,USA,Portland,9,414,5966,0.407,0,1632,1.7
Dexter Boney,1,Wilmington,Delaware,USA,,0,8,48,0.316,0.167,6,2.4
A.J. English,2,Wilmington,Delaware,USA,Washington,1,151,3108,0.435,0.138,315,9.9
Joey Graham,6,Wilmington,Delaware,USA,Cleveland,6,377,6117,0.483,0.3,1058,5.9
Stephen Graham,6,Wilmington,Delaware,USA,New Jersey,6,239,2915,0.446,0.308,424,4
Ronnie Murphy,1,Dover,Delaware,USA,Portland,0,18,89,0.286,0.25,11,2
Terence Stansbury,3,Wilmington,Delaware,USA,Seattle,2,192,2984,0.444,0.224,277,6.3
Thurl Bailey,12,Washington,DC,USA,Utah,11,928,24873,0.473,0.114,4718,12.8
John Battle,10,Washington,DC,USA,Cleveland,9,612,10910,0.464,0.273,824,8.7
Adrian Branch,4,Washington,DC,USA,Minnesota,3,130,1429,0.455,0.231,253,6.4
Austin Carr,10,Washington,DC,USA,Washington,9,682,19660,0.449,0.154,1990,15.4
Kenny Carr,10,Washington,DC,USA,Portland,9,674,17167,0.51,0.079,4999,11.6
Randolph Childress,2,Washington,DC,USA,,1,51,405,0.328,0.273,25,2.4
Adrian Dantley,15,Washington,DC,USA,Milwaukee,14,955,34151,0.54,0.171,5455,24.3
Johnny Dawkins,9,Washington,DC,USA,Detroit,8,541,14859,0.456,0.33,1336,11.1
Sherman Douglas,12,Washington,DC,USA,,11,765,21148,0.484,0.267,1672,11
John Duren,3,Washington,DC,USA,Indiana,2,201,2947,0.435,0.12,226,3.5
Blue Edwards,10,Washington,DC,USA,,9,704,18409,0.475,0.335,2376,10.8
Sharrod Ford,1,Washington,DC,USA,,0,3,13,0.667,,3,1.3
Claude Gregory,2,Washington,DC,USA,Los Angeles,1,25,315,0.456,0,97,5.4
Donald Hodge,5,Washington,DC,USA,,4,249,3501,0.437,0.286,809,4.7
Chris Johnson,3,Washington,DC,USA,Minnesota,3,71,597,0.562,,132,2.9
Dermarr Johnson,7,Washington,DC,USA,San Antonio,7,344,5930,0.411,0.336,769,6.2
Anthony Jones,3,Washington,DC,USA,Dallas,2,164,1704,0.393,0.306,214,3.6
Eddie Jordan,7,Washington,DC,USA,Los Angeles,6,420,8507,0.414,0.224,788,8.1
Tim Legler,10,Washington,DC,USA,,9,310,5253,0.447,0.431,481,7
Cedric Lewis,1,Washington,DC,USA,Washington,0,3,4,0.667,,2,1.3
Sidney Lowe,4,Washington,DC,USA,Minnesota,3,193,3422,0.367,0.133,335,2.9
John Lucas Iii,8,Washington,DC,USA,,7,242,2927,0.383,0.344,237,4.7
Bill Martin,3,Washington,DC,USA,Phoenix,2,84,860,0.449,0,136,4.7
Mike Morrison,1,Washington,DC,USA,Phoenix,0,36,153,0.338,0.286,20,2
Lawrence Moten,3,Washington,DC,USA,,2,119,1814,0.408,0.299,181,6.3
Moochie Norris,9,Washington,DC,USA,New Orleans,8,445,7640,0.401,0.286,868,5.1
Dominic Pressley,1,Washington,DC,USA,Chicago,0,13,124,0.29,0,15,1.8
Don Reid,8,Washington,DC,USA,Detroit,8,403,5374,0.53,0,1169,3.6
Bernard Robinson,3,Washington,DC,USA,New Jersey,3,128,1909,0.417,0.161,315,4.5
Craig Shelton,2,Washington,DC,USA,Atlanta,1,59,607,0.453,0,141,4.1
Tom Sluby,1,Washington,DC,USA,Dallas,0,31,151,0.517,0,12,2.4
Charles Smith,3,Washington,DC,USA,Minnesota,2,73,588,0.433,0,76,2.5
Michael Smith,7,Washington,DC,USA,Washington,7,449,10552,0.538,0.143,3193,5.6
Donell Taylor,2,Washington,DC,USA,Washington,2,98,834,0.395,0.206,106,2.7
Anthony Tucker,1,Washington,DC,USA,Washington,0,62,982,0.457,0,170,3.9
John Turner,1,Washington,DC,USA,Houston,0,42,345,0.439,,78,2.8
Kermit Washington,10,Washington,DC,USA,Golden State,9,507,12815,0.526,0,4232,9.2
Delonte West,8,Washington,DC, ,Dallas,8,432,11842,0.448,0.372,1265,9.7
James White,3,Washington,DC,USA,New York,3,67,583,0.438,0.34,68,2.7
Jerome Williams,9,Washington,DC,USA,New York,9,587,12755,0.502,0.038,3743,6.6
Walt Williams,11,Washington,DC,USA,,11,708,18818,0.425,0.379,2794,11.8
Chris Wright,1,Washington,DC,USA,,0,3,4,0.5,,0,0.7
Sam Young,4,Washington,DC,USA,Indiana,4,249,3966,0.442,0.28,573,5.8
